review_priority,suggested_action_code,source_bucket,owner,table_name,num_rows_stats,inferred_domain,column_count_in_current_file,has_primary_key,dependency_count,review_reason,cleanup_reason,manual_decision,manual_note
P1,REVIEW_INCLUDE,review,HRPSEY656,IUFO_MEASURE_DATA_7QSUNWXA,50,其他,358,true,0,????????358??,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IUFO_MEASURE_DATA_FHDVSG5L,50,其他,358,true,0,????????358??,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IUFO_MEASURE_DATA_JMK846T1,50,其他,358,true,0,????????358??,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IUFO_MEASURE_DATA_NUOYRMTI,50,其他,358,true,0,????????358??,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IUFO_MEASURE_DATA_TVAS9COI,50,其他,358,true,0,????????358??,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IUFO_MEASURE_DATA_0NUZZ42C,1,其他,358,true,0,????????358??,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IUFO_MEASURE_DATA_19ZS4SZA,1,其他,358,true,0,????????358??,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IUFO_MEASURE_DATA_8BM3UHOG,1,其他,358,true,0,????????358??,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IUFO_MEASURE_DATA_LVBQE8FK,1,其他,358,true,0,????????358??,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IUFO_MEASURE_DATA_NZ8FCR7X,1,其他,358,true,0,????????358??,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IUFO_MEASURE_DATA_XIIUP7GQ,1,其他,358,true,0,????????358??,,,
